
济宁裁缝大叔,#genre#
CHC动作电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002030/index.m3u8
CHC家庭影院,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002028/index.m3u8
CHC影迷电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002029/index.m3u8
东方卫视4k,video://https://live.kankanews.com/huikan/#video://https://live.kankanews.com/huikan/#video://https://live.jstv.com/#https://yzzy21.playback-speed.com/20250430/42755_cc803404/index.m3u8#https://yzzy21.playback-speed.com/20250430/42755_cc803404/2000k/hls/mixed.m3u8

电影国内,video://https://www.yy.com/1355076627/1355076627
电影连续剧,video://https://www.yy.com/1352946111/1352946111
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905a
狂飙,video://https://www.yy.com/1354790484#video://https://www.yy.com/1354936131#video://https://www.yy.com/1354790484/1354790484#video://https://www.yy.com/1354936131/1354936131
求索纪录,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000667/index.m3u8
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外,http://php.jdshipin.com:8880/1905.php?id=1905dy2
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外,http://php.jdshipin.com:8880/1905.php?id=1905dy2
猫和老鼠「动漫」,https://live.metshop.top/huya/11352879
电影放映厅,video://https://www.yy.com/1354790484#video://https://www.yy.com/1354936131#video://https://www.yy.com/1354790484/1354790484#video://https://www.yy.com/1354936131/1354936131
喜剧电影放映厅,video://https://www.huya.com/11602031
猫和老鼠「动漫」,https://live.metshop.top/huya/11352879
大江大河高分影视推荐,video://https://www.yy.com/1382736797
大江大河高分影视推荐,https://live.metshop.top/yy/1382736797
电影-星爷,https://live.metshop.top/huya/11342412
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905a
1905电影国外,http://php.jdshipin.com:8880/1905.php?id=1905b
法治天地,http://[2409:8087:1e01:20::3]:80/PLTV/11/224/3221225994/index.m3u8
欢笑剧场,http://[2409:8087:1e01:20::3]:80/PLTV/11/224/3221225771/index.m3u8
都市剧场,http://[2409:8087:1e01:20::3]:80/PLTV/11/224/3221225762/index.m3u8
青海都市,http://[2409:8087:1e01:20::3]:80/PLTV/11/224/3221225749/index.m3u8
睛彩广场舞,http://[2409:8087:1e01:20::3]:80/PLTV/11/224/3221226139/index.m3u8
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905电影国内,http://php.jdshipin.com:8880/1905.php?id=1905a
裁缝大叔佛教传播,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8

嘉兴文化影视,http://play-sh13.quklive.com/live/1675149625220101.m3u8?auth_key=2028730374-3a60eb8e324f416aa3b26dda7679d920-0-22dc7efa8452d0b0665c15eeed83609d
广州影视,http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4

重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd

华数精彩影视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002012/index.m3u8
河南梨园,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000656/index.m3u8
河南武术世界,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000657/index.m3u8
佛教传播,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv



CCTV-1综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV-2财经,http://39.134.144.6:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV-3综艺,http://39.134.144.6:8089/PLTV/88888888/224/3221226338/index.m3u8
CCTV-4中文国际,http://39.134.144.6:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV-4欧洲,http://39.134.144.6:8089/PLTV/88888888/224/3221226318/index.m3u8
CCTV-4美洲,http://39.134.144.6:8089/PLTV/88888888/224/3221226395/index.m3u8
CCTV-5体育,http://39.134.144.6:8089/PLTV/88888888/224/3221226425/index.m3u8
CCTV-5+体育赛事,http://39.134.144.6:8089/PLTV/88888888/224/3221225781/index.m3u8
CCTV-6电影,http://39.134.144.6:8089/PLTV/88888888/224/3221226427/index.m3u8
CCTV-7国防军事,http://39.134.144.6:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV-8电视剧,http://39.134.144.6:8089/PLTV/88888888/224/3221226429/index.m3u8
CCTV-9纪录,http://39.134.144.6:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV-10科教,http://39.134.144.6:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV-11戏曲,http://39.134.144.6:8089/PLTV/88888888/224/3221226407/index.m3u8
CCTV-12社会与法,http://39.134.144.6:8089/PLTV/88888888/224/3221225763/index.m3u8
CCTV-13新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221226328/index.m3u8
CCTV-14少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221225765/index.m3u8
CCTV-15音乐,http://39.134.144.6:8089/PLTV/88888888/224/3221226409/index.m3u8
CCTV-17农业农村,http://39.134.144.6:8089/PLTV/88888888/224/3221226093/index.m3u8
CCTV-4K,http://39.134.144.6:8089/PLTV/88888888/224/3221226615/index.m3u8
